Column1,Column2
भयो,O
।,O
,
दक्षिण,B-Organization
एसियाली,I-Organization
ओलम्पिक,I-Organization
काउन्सिल,I-Organization
का,O
अध्यक्ष,O
समेत,O
रहेका,O
श्रेष्ठ,B-Person
ले,O
साग,B-Event
को,O
नयाँ,O
तिथिका,O
बारेमा,O
छलफल,O
गर्न,O
यही,B-Date
महिना,I-Date
बैठक,O
राख्ने,O
प्रयास,O
गरे,O
पनि,O
अन्य,O
पदाधिकारी,O
को,O
व्यवस्थाका,O
कारण,O
सफल,O
नभएका,O
ले,O
अब,O
मार्च,B-Date
मा,O
बैठक,O
बसी,O
यस,O
बारे,O
निर्णय,O
गर्ने,O
बताए,O
।,O
,
गर्जो,O
टार्न,O
त्यही,O
दिन्छन्,O
",",O
’,O
गुल्मका,O
प्रहरी,O
निरीक्षक,O
विजय,B-Person
थापा,I-Person
ले,O
भने,O
",",O
‘,O
पैसा,O
दिनुपर्छ,O
भन्ने,O
होइन,O
तर,O
कोही,O
ले,O
खुसी,O
ले,O
५०,O
/,O
१००,O
रूपैयाँ,O
छोडेर,O
जान्छन्,O
।,O
,
उन,O
ले,O
डा.,O
केसी,B-Person
ले,O
अनसन,O
छाडेर,O
शिक्षा,O
विधेयक,O
को,O
कार्यान्वयन,O
को,O
नेतृत्व,O
लिन,O
सुझाव,O
दिए,O
।,O
,
चौतारा,O
पनि,O
भत्काइनेछ,O
।,O
,
अरु,O
बाट,O
सिक्नु,O
हैन,O
।,O
,
अध्यक्ष,O
तिमिल्सिना,B-Person
ले,O
जसरी,O
मर्यादापालक,O
लगाएर,O
चिकित्सा,O
विधेयक,O
पेश,O
गर्न,O
मन्त्री,O
लाई,O
अनुमति,O
दिए,O
",",O
त्यस,O
बाट,O
राष्ट्रिय,O
सभा,O
को,O
परिपक्वता,O
होइन,O
कमजोरी,O
झल्किए,O
को,O
छ,O
।,O
,
कृष्णकुमारी,B-Person
भेट,O
भएका,O
जति,O
लाई,O
गर्व,O
ले,O
सुनाउँछिन्,O
",",O
',O
मोहन,B-Person
(,O
साहिँला,O
छोरा,O
),O
ले,O
गरेर,O
कान,O
सुन्न,O
थाले,O
की,O
छु,O
।,O
,
सन्,B-Date
२००७,I-Date
-,I-Date
०८,I-Date
मा,O
अष्ट्रेलिया,B-Organization
२,O
-,O
१,O
ले,O
विजयी,O
-,O
मोहम्मद,B-Person
अजहरुद्दीन,I-Person
,
अब,O
उहाँ,O
ले,O
यस,O
को,O
नाम,O
मा,O
द्वन्द्वकालका,O
मुद्दा,O
हरु,O
",",O
अब,O
प्रचण्ड,B-Person
लाई,O
नै,O
जेल,O
हाल्छु,O
",",O
अर्को,O
लाई,O
जेल,O
हाल्छु,O
।,O
,
ग्ल्यामराइज,O
मात्रै,O
गरिन्छ,O
।,O
,
आयोजना,O
ले,O
पटकपटक,O
सम्झौता,O
गर्ने,O
तर,O
पीडित,O
को,O
माग,O
को,O
सम्बोधन,O
नगरेका,O
कारण,O
प्रितिरोध,O
मा,O
उत्रनु,O
परे,O
को,O
सङ्घर्ष,O
समितिका,O
संयोजक,O
सुजन,B-Person
पोख्रेल,I-Person
ले,O
बताए,O
।,O
,
नेपाल,B-Organization
पत्रकार,I-Organization
महासंघ,I-Organization
धनुषा,I-Organization
का,O
अध्यक्ष,O
अनिल,B-Person
मिश्र,I-Person
ले,O
विगत,O
केही,O
वर्ष,O
देखि,O
शान्त,O
रहे,O
को,O
यो,O
प्रदेश,O
को,O
आठ,O
जिल्ला,O
मा,O
फेरि,O
अशान्ति,O
फैलाउने,O
कार्य,O
यो,O
संवाद,O
तथा,O
सुझाव,O
आयोग,O
बाट,O
नहोस्,O
भन्दै,O
त्यस,O
तर्फ,O
सचेत,O
गराए,O
।,O
,
त्यस,O
पछि,O
हातीपोलो,O
सुरू,O
भयो,O
।,O
,
प्रस्तावित,O
राजूदतविरूद्ध,O
सुनुवाइ,O
समिति,O
ले,O
दस,B-Date
दिन,I-Date
को,O
स,O
मय,O
राख्दै,O
उजुरी,O
आह्वान,O
गरे,O
पनि,O
उनीहरूविरूद्ध,O
कुनै,O
उजुरी,O
परे,O
को,O
थिएन,O
।,O
,
पूर्णबहादुर,B-Person
बोहरा,I-Person
का,O
चार,O
मध्ये,O
तीन,O
छोराछोरी,O
अपाङ्गता,O
भएका,O
छन्,O
।,O
,
“,O
नगरवासी,O
को,O
गुनासो,O
लाई,O
सम्बोधन,O
गरिए,O
को,O
छ,O
",",O
नयाँ,O
मापदण्ड,O
ले,O
धेरै,O
राहत,O
मिल्ने,O
छ,O
”,O
",",O
प्रवक्ता,O
बराइली,B-Person
ले,O
भने,O
।,O
,
द,O
फेभरेट,O
(,O
फियोना,B-Person
क्रोम्बी,I-Person
तथा,O
एलिस,B-Person
फेलटन,I-Person
),O
,
भात,O
पकाउनुपर्थ्यो,O
।,O
,
प्रदेश,B-Organization
दुई,I-Organization
को,O
राजधानी,O
र,O
प्रदेश,O
को,O
नामाकरण,O
को,O
विषय,O
मा,O
सुझाव,O
संकलनका,O
लागि,O
गठन,O
गरिए,O
को,O
संवाद,B-Organization
तथा,I-Organization
सुझाव,I-Organization
आयोग,I-Organization
ले,O
जनकपुरधाम,B-Location
मा,O
सुझाव,O
संकलन,O
गरे,O
को,O
छ,O
।,O
,
त्यस,O
पछि,O
म,O
पनि,O
होटल,O
फर्किएँ,O
।,O
,
चौधरी,B-Person
ले,O
भ्रष्टाचार,O
निवारण,O
ऐन,O
",",O
२०५९,O
को,O
दफा,O
३,O
को,O
उपदफा,O
(,O
१,O
),O
बमोजिम,O
कसुर,O
गरे,O
को,O
पुष्टि,O
भएका,O
ले,O
उन,O
लाई,O
बिगो,O
रू,O
.,O
२,O
",",O
५०,O
",",O
०००,O
।,O
,
त्यस्तै,O
",",O
२०६५,B-Date
–,I-Date
६६,I-Date
मा,O
सिनर्जी,B-Organization
प्रोपर्टी,I-Organization
डेभलर,I-Organization
ले,O
नबिल,B-Organization
बैक,I-Organization
मा,O
१५,O
करोड,O
रुपैयाँ,O
ऋण,O
लिन,O
एनबी,B-Organization
बाट्रा,I-Organization
हस्पिटल,I-Organization
एन्ड,I-Organization
मेडिकल,I-Organization
रिसर्च,I-Organization
सेन्टर,I-Organization
को,O
नाउँ,O
मा,O
रहे,O
को,O
२३,O
रोपनी,O
जग्गा,O
धितो,O
मा,O
राखेको,O
छ,O
।,O
,
नि,O
जी,O
क्षेत्र,O
को,O
वायुसेवा,O
प्रदायक,O
बुद्ध,B-Organization
एयर,I-Organization
ले,O
जहाज,O
थप,O
गर्ने,O
भएको,O
छ,O
।,O
,
सात,B-Date
वर्षीया,I-Date
"कश्वी,",O
जिजू-हजुरआमा,O
लाई,O
आफ्नै,O
हात,O
ले,O
भात,O
मुछेर,O
ख्वाउन,O
तत्पर,O
